REGIAO;UF;MUNICIPIO ;CODIGO DO IBGE;DENOMINACAO DA COMUNIDADE;ID QUILOMBOLA;N PROCESSO NA FCP;DATA DA ABERTURA DO PROCESSO;N DO LIVRO DE REGISTRO;N DO REGISTRO;N DA FOLHA DO LIVRO DE REGISTRO;N DA PORTARIA DE CERTIFICACAO;DATA DA PORTARIA NO D.O.U;LINK DA PUBLICACAO NO DOU;N PROCESSO INCRA;LATITUDE - S-N;LONGITUDE - W-E;ENDERECO/TELEFONE DA COMUNIDADE;OBSERVACOES
NORDESTE;MA;ITAPECURU MIRIM;2105401;MOREIRA;1.280;01420.001162/2005-08;01/06/2005;4;315;22;32/2005;19/08/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=20&data=19/08/2005;54230.002310/2010-64 ;;;;
SUDESTE;MG;SAO JOAO DA PONTE;3162401;LIMEIRA;873;01420.001189/2005-92;30/06/2005;4;316;23;32/2005;19/08/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=20&data=19/08/2005;54170.008052/2005-14;-15.751573;-43.720754;;
SUDESTE;SP;CANANEIA;3509908;VARADOURO;2.048;01420.001449/2005-20;30/06/2005;4;317;24;32/2005;19/08/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=20&data=19/08/2005;54190.003820/2005-13 ;;;;
SUDESTE;SP;CANANEIA;3509908;ARIRI;914;01420.001450/2005-54;15/02/2007;4;318;25;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;;;;;
SUDESTE;SP;CANANEIA;3509908;PORTO CUBATAO;915;01420.001451/2005-07;30/06/2005;4;319;26;32/2005;19/08/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=20&data=19/08/2005;54190.003824/2005-93 ;;;;
SUDESTE;SP;CANANEIA;3509908;TAQUARI;919;01420.001453/2005-98;30/06/2005;4;320;27;32/2005;19/08/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=20&data=19/08/2005;54190.003822/2005-02 ;;;;
SUDESTE;SP;CANANEIA;3509908;SAO PAULO BAGRE;918;01420.001454/2005-32;30/06/2005;4;321;28;41/2005;11/11/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;;;;;
SUDESTE;SP;CANANEIA;3509908;SANTA MARIA;916;01420.001455/2005-87;30/06/2005;4;322;29;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54190.003821/2005-50 ;;;;
SUDESTE;SP;BARRA DO TURVO;3505401;REGINALDO;903;01420.001457/2005-76;30/06/2005;4;323;30;32/2005;19/08/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=20&data=19/08/2005;54190.003823/2005-43 ;;;;
NORDESTE;MA;PERITORO;2108454;RESFRIADO;634;01420.001191/2005-61;03/06/2005;4;324;31;32/2005;19/08/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=20&data=19/08/2005;;;;;
NORDESTE;RN;BODO | LAGOA NOVA | SANTANA DO MATOS;2401651 | 2406502 | 2411403;MACAMBIRA;222;01420.001321/2005-66;17/06/2005;4;325;32;32/2005;19/08/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=20&data=19/08/2005;54330.000698/2006-54 ;-6.06686;-36.553383;;
NORDESTE;MA;CEDRAL;2103109;MARANHAO NOVO;499;01420.001375/2005-21;23/06/2005;4;326;33;32/2005;19/08/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=20&data=19/08/2005;54230.002620/2011-60 ;;;;
NORDESTE;MA;CEDRAL;2103109;SANTO ANTÔNIO;550;01420.001376/2005-76;23/06/2005;4;327;34;32/2005;19/08/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=20&data=19/08/2005;54230.002271/2011-86 ;;;;
NORTE;PA;SANTAREM;1506807;MURUMURUTUBA;490;01420.000420/2005-21;10/03/2005;4;328;35;32/2005;19/08/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=20&data=19/08/2005;54105.002168/2003-61 ;9716740.969;772383.9425;;
CENTRO-OESTE;MT;POCONE;5106505;CURRALINHO;2.181;01420.001789/2005-51;03/08/2005;4;329;36;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005267/2005-11 ;535.632;8.246.251;"CoordenaCAo das Comunidades Negras Rurais Quilombolas: TeOfilo 65 3345 2088 ou 9277 8161; Rosária 65 9621 7821  ou iaoquilombola@hotmail.com e Vanda 9234 1844.";
CENTRO-OESTE;MT;POCONE;5106505;SAO BENEDITO;2.191;01420.001791/2005-20;03/08/2005;4;331;38;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005266/2005-68 ;;;"CoordenaCAo das Comunidades Negras Rurais Quilombolas: TeOfilo 65 3345 2088 / 9277 8161; Rosária 65 9621 7821  ou iaoquilombola@hotmail.com e Vanda 9234 1844.";
CENTRO-OESTE;MT;POCONE;5106505;CANTO DO AGOSTINHO;2.175;01420.001792/2005-74;03/08/2005;4;332;39;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005268/2005-57 ;532.088;8.220.616;;
CENTRO-OESTE;MT;POCONE;5106505;CHUMBO;2.179;01420.001793/2005-19;03/08/2005;4;333;40;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005280/2005-61 ;529.485;8.225.770;Cristiane Costa - CJCIAS-Cuiabá-MT/CBFJ - Centro Burnier FE e JustiCa- RazAo Social - AssociaCAo Antonio Vieira – JurIdica - (65) 3023-2959/9318-9958 - CRISTIANECJ@asavbrm.onmicrosoft.com;
CENTRO-OESTE;MT;POCONE;5106505;VARAL;2.194;01420.001799/2005-96;03/08/2005;4;334;41;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005247/2005-31 ;516.987;8.248.977;;
CENTRO-OESTE;MT;POCONE;5106505;LARANJAL;2.182;01420.001798/2005-41;03/08/2005;4;335;42;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005236/2005-51 ;529.786;8.239.083;"CoordenaCAo das Comunidades Negras Rurais Quilombolas: TeOfilo 65 3345 2088 ou 9277 8161; Rosária 65 9621 7821  ou iaoquilombola@hotmail.com e Vanda 9234 1844.";
CENTRO-OESTE;MT;POCONE;5106505;CAMPINA DE PEDRA;19;01420.001797/2005-05;03/08/2005;4;336;43;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005272/2005-15 ;-16.049338;-56.900923;"CoordenaCAo das Comunidades Negras Rurais Quilombolas: TeOfilo 65 3345 2088 ou 9277 8161; Rosária 65 9621 7821  ou e-mail: iaoquilombola@hotmail.com e Vanda 9234 1844.";
CENTRO-OESTE;MT;POCONE;5106505;PASSAGEM DE CARRO;2.187;01420.001796/2005-52;03/08/2005;4;337;44;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005271/2005-71 ;521.978;8.552.438;;
CENTRO-OESTE;MT;POCONE;5106505;IMBE;1.052;01420.001795/2005-16;03/08/2005;4;338;45;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005273/2005-60 ;513.512;8.228.536;"CoordenaCAo das Comunidades Negras Rurais Quilombolas: TeOfilo 65 3345 2088 ou 9277 8161; Rosária 65 9621 7821  ou e-mail: iaoquilombola@hotmail.com e Vanda 9234 1844.";
CENTRO-OESTE;MT;POCONE;5106505;PEDRA VIVA;2.188;01420.001794/2005-63;03/08/2005;4;339;46;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005281/2005-14 ;537.137;8.192.351;;
CENTRO-OESTE;MT;POCONE;5106505;CÁGADO;2.173;01420.001787/2005-61;04/08/2005;4;340;47;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005237/2005-04 ;530.808;8.220.201;"CoordenaCAo das Comunidades Negras Rurais Quilombolas: TeOfilo 65 3345 2088 ou 9277 8161; Rosária 65 9621 7821  ou iaoquilombola@hotmail.com e Vanda 9234 1844.";
CENTRO-OESTE;MT;POCONE;5106505;PANTANALZINHO;2.186;01420.001786/2005-17;04/08/2005;4;341;48;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005278/2005-92 ;500.179;8.253.182;;
CENTRO-OESTE;MT;POCONE;5106505;MORRO CORTADO;2.185;01420.001785/2005-72;04/08/2005;4;342;49;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005264/2005-79 ;;;"CoordenaCAo das Comunidades Negras Rurais Quilombolas: TeOfilo 65 3345 2088 ou 9277 8161; Rosária 65 9621 7821  ou iaoquilombola@hotmail.com e Vanda 9234 1844.";
CENTRO-OESTE;MT;POCONE;5106505;ARANHA;2.172;01420.001784/2005-28;04/08/2005;4;343;50;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005265/2005-13 ;528.722;8.243.658;;
CENTRO-OESTE;MT;POCONE;5106505;CHAFARIZ URUBAMA;2.178;01420.001783/2005-83;04/08/2005;4;344;51;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005276/2005-01 ;500.156;8.236.648;;
CENTRO-OESTE;MT;POCONE;5106505;RODEIO;2.190;01420.001781/2005-94;04/08/2005;4;345;52;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005274/2005-12 ;;;;
CENTRO-OESTE;MT;POCONE;5106505;CEU AZUL;2.177;01420.001782/2005-39;04/08/2005;4;346;53;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005275/2005-59 ;537.972;8.254.220;;
CENTRO-OESTE;MT;ACORIZAL;5100102;ALDEIAS;2.148;01420.001779/2005-15;04/08/2005;4;347;54;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005249/2005-21 ;8.324.336;563.062;;
CENTRO-OESTE;MT;NOSSA SENHORA DO LIVRAMENTO;5106109;JACARE DE CIMA;802;01420.001778/2005-71;04/08/2005;4;348;55;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005269/2005-00 ;552.105;8.273.440;;
CENTRO-OESTE;MT;BARRA DO BUGRES;5101704;BAIXIO;2.150;01420.001777/2005-26;04/08/2005;4;349;56;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;;8.307.777;505.510;;
CENTRO-OESTE;MT;POCONE;5106505;MINADOURO 2;2.183;01420.001767/2005-91;08/08/2005;4;350;57;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005279/2005-37 ;541.951;8.232.021;"CoordenaCAo das Comunidades Negras Rurais Quilombolas: TeOfilo 65 3345 2088 ou 9277 8161; Rosária 65 9621 7821  ou e-mail: iaoquilombola@hotmail.com e Vanda 9234 1844.";
NORDESTE;MA;BURITI;2102200;SAO JOSE;544;01420.001813/2005-51;08/08/2005;4;351;58;28/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;;;;;
CENTRO-OESTE;MT;BARRA DO BUGRES;5101704;VERMELHINHO;2.153;01420.001776/2005-81;04/08/2005;4;352;59;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005252/2005-44 ;;;;
NORDESTE;BA;LIVRAMENTO DE NOSSA SENHORA;2919504;OLHO D'ÁGUA DO MEIO;608;01420.001722/2005-16;28/07/2005;4;353;60;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54160.001707/2008-95;-13.908278;-41.926446;;
CENTRO-OESTE;MT;NOSSA SENHORA DO LIVRAMENTO;5106109;CABECEIRA DO SANTANA;1.057;01420.001810/2005-18;08/08/2005;4;354;61;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005270/2005-26 ;562.229;8.260.360;;
CENTRO-OESTE;MT;SANTO ANTÔNIO DO LEVERGER;5103403;ABOLICAO;2.164;01420.001812/2005-15;08/08/2005;4;355;62;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005251/2005-08 ;-15.7895;-55.6073;;*Santo Antônio Leverger (falta pedido formal da Comunidade para pedir a mudanCa de municIpio)
CENTRO-OESTE;MT;CUIABÁ;5103403;SAO GERÔNIMO;2.167;01420.001811/2005-62;08/08/2005;4;356;63;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005250/2005-55 ;;;;
CENTRO-OESTE;MT;POCONE;5106505;SETE PORCOS;2.192;01420.001768/2005-35;08/08/2005;4;357;64;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005248/2005-86 ;507.873;8.238.255;;
CENTRO-OESTE;MT;POCONE;5106505;MORRINHOS;2.184;01420.001769/2005-80;05/08/2005;4;358;65;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005259/2005-66 ;559.436;8.212.071;"CoordenaCAo das Comunidades Negras Rurais Quilombolas: TeOfilo 65 3345 2088 / 9277 8161; Rosária 65 9621 7821  ou iaoquilombola@hotmail.com e Vanda 9234 1844.";
CENTRO-OESTE;MT;POCONE;5106505;TANQUE DO PADRE PINHAL;2.193;01420.001770/2005-12;05/08/2005;4;359;66;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005254/2005-33 ;535.493;8.198.798;"CoordenaCAo das Comunidades Negras Rurais Quilombolas: TeOfilo 65 3345 2088 ou 9277 8161; Rosária 65 9621 7821  ou e-mail: iaoquilombola@hotmail.com e Vanda 9234 1844.";
CENTRO-OESTE;MT;POCONE;5106505;CAPAO VERDE;2.176;01420.001771/2005-59;05/08/2005;4;360;67;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005234/2005-62 ;525.404;8.249.432;;
CENTRO-OESTE;MT;POCONE;5106505;CAMPINA II;2.174;01420.001772/2005-01;05/08/2005;4;361;68;37/2005;12/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=22&data=12/09/2005;54240.005256/2005-22 ;511695;8.238.439;;
CENTRO-OESTE;MT;CÁRCERES;5106505 | 5102504 ;MONJOLO;;01420.001773/2005-48;05/08/2005;4;362;69;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54240.005258/2005-11 ;495.203.76;8.250.491.47;;
CENTRO-OESTE;MT;POCONE;5106505;JEJUM;1.053;01420.001774/2005-92;05/08/2005;4;363;70;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54220.005245/2005-42 ;538.927;8.221.989;"CoordenaCAo das Comunidades Negras Rurais Quilombolas: TeOfilo 65 3345 2088 ou 9277 8161; Rosária 65 9621 7821  ou e-mail: iaoquilombola@hotmail.com e Vanda 9234 1844.";
CENTRO-OESTE;MT;BARRA DO BUGRES;5101704;VACA MORTA;2.152;01420.001808/2005-49;08/08/2005;4;364;71;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54240005240/2005-10 ;8.306.061;500.255;;
CENTRO-OESTE;MT;ACORIZAL;5100102;BAÚS;2.149;01420.001809/2005-93;08/08/2005;4;365;72;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54240.005235/2005-15 ;-15.241;-56.3105;;
CENTRO-OESTE;MT;POCONE;5106505;COITINHO;2.180;01420.001775/2005-37;05/08/2005;4;366;73;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54240.005260/2005-91 ;502.977;8.231.794;"CoordenaCAo das Comunidades Negras Rurais Quilombolas: TeOfilo 65 3345 2088 ou 9277 8161; Rosária 65 9621 7821  ou e-mail: iaoquilombola@hotmail.com e Vanda 9234 1844.";
CENTRO-OESTE;MT;NOSSA SENHORA DO LIVRAMENTO;5106109;ENTRADA DO BANANAL;1.045;01420.001830/2005-99;10/08/2005;4;367;74;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54240.005246/2005-97 ;;;ELIZEU DA SILVA - XUMXUM - xum.xum@hotmail.com - 65-996281265;
CENTRO-OESTE;MT;CHAPADA DOS GUIMARAES;5103007;ARICA-ACÚ;2.159;01420.001831/2005-33;10/08/2005;4;368;75;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54240.005253/2005-99 ;;;;
CENTRO-OESTE;MT;CHAPADA DOS GUIMARAES;5103007;CACHOEIRA DO BOM JARDIM;2.160;01420.001832/2005-88;10/08/2005;4;369;76;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54240.005261/2005-35 ;8.325.100;623.990;;
CENTRO-OESTE;MT;NOSSA SENHORA DO LIVRAMENTO;5106109;BARREIRO;2.170;01420.001829/2005-64;10/08/2005;4;370;77;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54240.005232/2005-73 ;8.259.561;554.447;;
CENTRO-OESTE;MT;NOSSA SENHORA DO LIVRAMENTO;5106109;CAMPINA VERDE;2.171;01420.001828/2005-10;10/08/2005;4;371;78;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54240.005231/2005-29 ;;;;
CENTRO-OESTE;MT;VILA BELA DA SANTISSIMA TRINDADE;5105507;BELA COR;2.168;01420.001827/2005-75;10/08/2005;4;372;79;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54240.005241/2005-64 ;;;(65) 3259-1075 - Edenildo Fernandes de Oliveira - Rua Conde de Azambuja – s/n, Centro – CEP: 78.245-000 - Vila Bela da SantIssima Trindade/MT;
CENTRO-OESTE;MT;CUIABÁ;5103403;CAXIPO ACÚ;2.166;01420.001842/2005-13;23/08/2005;4;373;80;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54240.005238/2005-41 ;594.174;8.311.020;;
CENTRO-OESTE;MT;VILA BELA DA SANTISSIMA TRINDADE;5105507;MANGA;2.169;01420.001841/2005-79;23/08/2005;4;374;81;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54240.005230/2005-84 ;;;;
CENTRO-OESTE;MT;VILA BELA DA SANTISSIMA TRINDADE;5105507;BOQUEIRAO, VALE DO RIO ALEGRE E VALE DO RIO GUAPORE;824;01420.001838/2005-55;15/08/2005;4;375;82;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54240.005262/2005-80 ;;;Comunidade Quilombola (ASSOREQ) BoqueirAo, Porto Bananal e Retiro - Rua Pouso Alegre, n° 367, Centro – 78.245-000 - Vila Bela da SantIssima Trindade/MT - Adair Oliveira de Moraes - (65) 99206-9706;
CENTRO-OESTE;MT;CHAPADA DOS GUIMARAES;5103007;CANSANCAO;2.161;01420.001840/2005-24;23/08/2005;4;376;83;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54240.005244/2005-06 ;;;;
CENTRO-OESTE;MT;CUIABÁ;5103403;AGUASSÚ;2.165;01420.001839/2005-08;23/08/2005;4;377;84;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54240.005233/2005-18 ;-15.2758;-56.1234;;
CENTRO-OESTE;MT;CÁRCERES;5102504;SANTANA;2.157;01420.001833/2005-22;15/08/2005;4;378;85;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54240.005239/2005-95 ;8.242.696;451.809;;
CENTRO-OESTE;MT;CÁRCERES;5102504;PONTA DO MORRO;2.156;01420.001834/2005-77;15/08/2005;4;379;86;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54240.005243/2005-53 ;;;;
CENTRO-OESTE;MT;CÁRCERES;5102504;EXÚ;2.155;01420.001835/2005-11;15/08/2005;4;380;87;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54240.005257/2005-77 ;8.259.172;441.164;;
CENTRO-OESTE;MT;CÁRCERES;5102504;CHAPADINHA;2.154;01420.001836/2005-66;15/08/2005;4;381;88;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54240.005255/2005-88 ;;;;
CENTRO-OESTE;MT;CÁRCERES;5102504;SAO GONCALO;2.158;01420.001837/2005-19;15/08/2005;4;382;89;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54240.005242/2005-17 ;;;;
NORDESTE;BA;IBITIARA | SEABRA;2913002 | 2929909;MORRO REDONDO;439;01420.001788/2005-14;03/08/2005;4;383;90;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54160.002695/2009-05;-12.521167;-42.007416;;Chapada da Diamantina
NORDESTE;BA;SEABRA;2929909;VAO DAS PALMEIRAS;1.867;01420.001805/2005-13;10/08/2005;4;384;91;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;;-12.555558;-41.847508;;Chapada da Diamantina
NORDESTE;BA;RIACHO DE SANTANA;2926400;RIO DO TANQUE;1.847;01420.001849/2005-35;23/08/2005;4;385;92;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;;-11.192782;-42.03417;;
NORDESTE;BA;RIACHO DE SANTANA;2926400;SAMBAIBA;694;01420.001848/2005-91;23/08/2005;4;386;93;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54160.001712/2008-06;-13.610236;-42.731728;;
NORDESTE;MA;CODO;2103307;SANTA JOANA;111;01420.001985/2005-25;23/08/2005;4;388;95;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54230.003796/2004-18 ;-4.613908;-43.961432;;
SUDESTE;MG;MATIAS CARDOSO;3140852;PRAIA;1.971;01420.001780/2005-40;04/08/2005;4;389;96;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54170.008058/2005-91;;;;
SUDESTE;ES;CONCEICAO DA BARRA;3201605;LINHARINHO;2.022;01420.002079/2005-48;31/08/2005;4;391;98;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;;-18.532971;-39.803727;Comunidade Quilombo Linharinho  - AssociaCAo dos Produtores Pro Desenvolvimento Linharinho - Rua Faustino Lisboa N 73 – Centro - ConceiCAo da Barra/ES - CEP 29.960-000;
SUDESTE;ES;CONCEICAO DA BARRA | SAO MATEUS;3201605 | 3204906;SAO JORGE;134;01420.002077/2005-59;31/08/2005;4;392;99;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54340.000042/2005-31 ;-18.640559;-39.921443;;
NORDESTE;AL;PALMEIRA DOS INDIOS;2706307;POVOADO TABACARIA;22;01420.02064/2005-80;31/08/2005;4;393;100;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;54360.000140/2007-01 ;-9.455927;-36.508758;AluIzio 82 9 9984 0387;
SUDESTE;RJ;CAMPOS DOS GOYTACAZES;3301009;CONCEICAO DE IMBE;2.043;01420.002165/2005-51;12/09/2005;5;394;2;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;;;;;
SUDESTE;RJ;CAMPOS DOS GOYTACAZES;3301009;CAMBUCÁ;894;01420.002163/2005-61;12/09/2005;5;395;3;39/2005;30/09/2005;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=12&data=30/09/2005;;;;;
